region,prop_urban
Balaka,0.066577667
Blantyre,0.655036958
Chikwawa,0.028867241
Chiradzulu,0.008272778
Chitipa,0.077395447
Dedza,0.030772289
Dowa,0.036748056
Karonga,0.148318572
Kasungu,0.070435705
Likoma,0.148019802
Lilongwe,0.358389036
Machinga,0.046058574
Mangochi,0.045574591
Mchinji,0.036724995
Mulanje,0.025451863
Mwanza,0.156462894
Mzimba,0.182886044
Neno,0.014400944
Nkhata Bay,0.053845608
Nkhotakota,0.080201063
Nsanje,0.080361217
Ntcheu,0.029053264
Ntchisi,0.03278654
Phalombe,0.014567222
Rumphi,0.106751394
Salima,0.078536327
Thyolo,0.016931969
Zomba,0.1179484
